orderId,couponUsed
219193,1
219198,1
219207,1
219217,1
219219,1
219220,1
219223,1
219226,1
219231,1
219238,1
219252,1
219253,1
219257,1
219259,1
219265,1
219267,1
219329,1
219349,1
219362,1
219372,1
219375,1
219401,1
219415,1
219425,1
219435,1
219448,1
219451,1
219537,1
219559,1
219571,1
219578,1
219582,1
219585,1
219589,1
219599,1
219619,1
219629,1
219647,1
219656,1
219657,1
219667,1
219673,1
219679,1
219683,1
219699,1
219727,1
219760,1
219795,1
219808,1
219818,1
219819,1
219832,1
219833,1
219870,1
219952,1
220002,1
220004,1
220065,1
220078,1
220104,1
220109,1
220133,1
220143,1
220154,1
220203,1
220210,1
220211,1
220213,1
220223,1
220257,1
220265,1
220271,1
220296,1
220314,1
220345,1
220401,1
220413,1
220446,1
220451,1
220460,1
220461,1
220470,1
220489,1
220493,1
220535,1
220559,1
220566,1
220574,1
220575,1
220590,1
220617,1
220631,1
220649,1
220664,1
220678,1
220686,1
220700,1
220707,1
220722,1
220737,1
220739,1
220742,1
220744,1
220745,1
220750,1
220752,1
219218,1
219278,1
219365,1
219463,1
219502,1
219628,1
219711,1
219778,1
219859,1
219900,1
219908,1
219916,1
219923,1
220087,1
220129,1
220147,1
220256,1
220381,1
220485,1
220549,1
220636,1
220652,1
220701,1
219137,1
219140,1
219141,1
219146,1
219147,1
219150,1
219151,1
219152,1
219163,1
219165,1
219167,1
219170,1
219173,1
219180,1
219184,1
219185,1
219188,1
219189,1
219194,1
219200,1
219202,1
219211,1
219214,1
219222,1
219227,1
219237,1
219239,1
219247,1
219256,1
219266,1
219268,1
219285,1
219287,1
219300,1
219312,1
219315,1
219317,1
219331,1
219367,1
219384,1
219412,1
219413,1
219414,1
219418,1
219426,1
219446,1
219469,1
219490,1
219500,1
219514,1
219526,1
219533,1
219536,1
219546,1
219548,1
219549,1
219558,1
219566,1
219577,1
219587,1
219600,1
219603,1
219622,1
219625,1
219631,1
219669,1
219703,1
219713,1
219721,1
219729,1
219731,1
219747,1
219749,1
219751,1
219761,1
219772,1
219774,1
219779,1
219785,1
219803,1
219821,1
219823,1
219831,1
219836,1
219840,1
219846,1
219848,1
219879,1
219882,1
219888,1
219890,1
219894,1
219897,1
219901,1
219902,1
219928,1
219944,1
219948,1
219960,1
219962,1
219968,1
219972,1
219999,1
220017,1
220018,1
220034,1
220038,1
220042,1
220047,1
220050,1
220063,1
220077,1
220081,1
220083,1
220088,1
220092,1
220094,1
220097,1
220101,1
220106,1
220110,1
220145,1
220160,1
220163,1
220168,1
220187,1
220195,1
220196,1
220198,1
220202,1
220208,1
220215,1
220231,1
220249,1
220267,1
220276,1
220295,1
220297,1
220302,1
220313,1
220321,1
220338,1
220360,1
220378,1
220412,1
220417,1
220431,1
220435,1
220445,1
220450,1
220462,1
220476,1
220480,1
220481,1
220488,1
220527,1
220537,1
220565,1
220569,1
220572,1
220582,1
220589,1
220596,1
220606,1
220622,1
220626,1
220651,1
220679,1
220704,1
220740,1
230162,1
230191,1
230386,1
230396,1
231225,1
231672,1
233089,1
233525,1
233531,1
233539,1
233557,1
233620,1
233621,1
233684,1
233696,1
233745,1
233767,1
233805,1
233957,1
234084,1
234095,1
234166,1
234267,1
234426,1
234453,1
234595,1
234777,1
234909,1
235108,1
235400,1
236442,1
236638,1
237007,1
238325,1
240248,1
241739,1
243534,1
247697,1
225030,1
225635,1
225641,1
225920,1
225925,1
225927,1
225932,1
225935,1
225936,1
225939,1
225940,1
225941,1
225942,1
225945,1
225948,1
225951,1
225955,1
225959,1
225961,1
225963,1
225966,1
225967,1
225969,1
225970,1
225973,1
225974,1
225975,1
225984,1
225985,1
225986,1
225987,1
225988,1
225989,1
225990,1
225993,1
225994,1
225996,1
225997,1
225999,1
226000,1
226001,1
226002,1
226004,1
226006,1
226008,1
226009,1
226010,1
226011,1
226012,1
226013,1
226014,1
226015,1
226016,1
226020,1
226021,1
226022,1
226023,1
226026,1
226027,1
226028,1
226029,1
226030,1
226031,1
226032,1
226033,1
226034,1
226035,1
226036,1
226039,1
226042,1
226043,1
226044,1
226047,1
226049,1
226050,1
226051,1
226053,1
226054,1
226056,1
226057,1
226059,1
226060,1
226061,1
226063,1
226066,1
226068,1
226069,1
226070,1
226072,1
226074,1
226075,1
226079,1
226082,1
226085,1
226093,1
226094,1
226095,1
226096,1
226098,1
226101,1
226102,1
226105,1
226107,1
226109,1
226111,1
226112,1
226113,1
226114,1
226115,1
226116,1
226117,1
226126,1
226131,1
226132,1
226134,1
226135,1
226137,1
226139,1
226140,1
226141,1
226142,1
226144,1
226145,1
226147,1
226152,1
226154,1
226156,1
226157,1
226159,1
226162,1
226165,1
226168,1
226171,1
226176,1
226177,1
226178,1
226180,1
226183,1
226186,1
226187,1
226188,1
226189,1
226192,1
226199,1
226200,1
226202,1
226203,1
226207,1
226209,1
226210,1
226212,1
226214,1
226219,1
226220,1
226221,1
226228,1
226237,1
226238,1
226239,1
226241,1
226242,1
226243,1
226245,1
226246,1
226249,1
226250,1
226253,1
226257,1
226259,1
226260,1
226261,1
226262,1
226263,1
226265,1
226266,1
226267,1
226268,1
226272,1
226273,1
226281,1
226282,1
226286,1
226287,1
226288,1
226290,1
226292,1
226295,1
226297,1
226300,1
226301,1
226302,1
226303,1
226305,1
226306,1
226307,1
226308,1
226309,1
226312,1
226314,1
226316,1
